imei
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.50E+14
3.54E+14
3.54E+14
3.57E+14
3.57E+14
3.57E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.6706E+14
8.6706E+14
8.60147E+14
8.60147E+14
8.60147E+14
8.67553E+14
8.67553E+14
8.67553E+14
8.67553E+14
8.67553E+14
3.50424E+14
